Pop,Distance,Lat,Long,Elevation
22,46.87,43.648016,-79.356773,78
23,47.25,43.632911,-79.325591,74
181,691,40.1337,-86.158921,278
182,691,40.1337,-86.158921,278
183,691,40.1337,-86.158921,278
GT6,300,42.470627,-76.523913,151
GT8,300,42.470627,-76.523913,151
GT9,300,42.470627,-76.523913,151
378,300,42.470627,-76.523913,151
379,1559,31.744657,-88.183247,44
411,300,42.463813,-76.528895,354
442,48,43.594882,-79.515846,94
447,895,35.9787,-78.87685,116
465,933,35.66419,-78.471681,86
501,907,35.91668,-78.38529,103
514,926,35.71578,-78.65618,101
515,896,35.96879,-78.96189,92
516,42,43.649047,-79.543799,140
518,174,44.162759,-77.383232,82
570,7,43.962878,-79.522837,298
571,7,43.962613,-79.523204,298
572,7,43.962613,-79.523939,298
573,7,43.962762,-79.523205,298
574,7,43.961764,-79.523547,298
658,299,42.004086,-77.126949,373
676,701,41.878114,-87.629798,179
694,1464,50.018423,-96.774114,238
695,1184,46.087816,-64.778231,28
696,1139,47.001544,-65.566164,7
697,361,45.485094,-75.474734,81
698,78,43.544805,-80.248167,330
699,119,44.927178,-78.725375,303
700,1356,46.137636,-62.551315,19
701,1304,46.315411,-63.241092,45
702,1290,46.461958,-63.453724,44
703,498,45.50527,-73.600244,72
704,543,45.958702,-73.21967,19
705,498,45.501857,-73.60048,72
706,396,47.592963,-79.487499,178
707,1062,48.182726,-67.147805,178
708,716,46.810776,-71.290689,18
709,1579,31.103711,-87.071532,54
710,1579,31.105178,-87.072192,54
712,1626,31.090742,-88.228015,90
713,1538,36.002981,-94.288234,354
714,1570,34.503701,-93.055179,172
715,1323,35.491971,-90.358102,65
720,1066,38.52005,-89.983994,159
723,983,39.725328,-89.910663,199
724,793,39.165325,-86.526386,239
725,711,41.4942,-87.521706,191
726,635,41.466711,-86.483069,217
727,603,41.234169,-85.852817,251
728,1168,42.02335,-93.625622,277
729,1260,43.401875,-95.184128,437
730,1041,36.865601,-87.488619,170
731,899,37.443889,-85.743612,260
732,1086,37.083401,-88.599953,99
733,780,39.290385,-76.612189,68
734,430,45.412512,-84.612536,195
735,859,46.475225,-89.939891,480
736,1722,30.396033,-88.885308,7
737,1277,36.991148,-91.492631,312
738,1277,36.991165,-91.492638,312
739,1081,38.642541,-90.323734,165
740,1222,36.757039,-90.392886,100
741,660,42.742517,-71.589534,113
742,550,40.796795,-74.481503,123
743,567,40.672486,-74.357533,46
744,291,42.142852,-77.05469,401
745,291,42.142852,-77.05469,401
746,535,41.778461,-73.748108,146
747,152,42.829807,-78.63643,267
748,152,42.829806,-78.636436,267
749,152,42.829806,-78.636436,267
750,152,42.829806,-78.636436,267
751,496,44.310051,-73.352628,88
752,303,42.167019,-76.820512,299
753,115,43.082556,-78.968097,173
754,115,43.082556,-78.968097,173
755,115,43.082556,-78.968097,173
756,290,44.070702,-75.923098,126
757,129,42.981389,-78.855278,184
758,129,42.981389,-78.855278,184
759,407,44.22395,-74.464058,541
760,135,42.963947,-78.737808,209
761,1004,35.357709,-76.224505,4
762,895,35.991865,-78.690218,116
763,930,35.909561,-82.213179,873
765,889,36.194986,-81.735522,1031
766,1040,35.030126,-83.01585,783
767,932,35.854604,-77.055511,18
768,475,40.031183,-81.588456,264
769,509,40.298672,-83.067961,277
770,513,39.96173,-82.491268,290
771,483,39.993684,-81.734017,284
774,547,39.725828,-76.328779,149
775,298,41.733124,-77.641931,546
776,300,41.997863,-77.125135,373
777,300,41.997863,-77.125135,373
778,286,41.469147,-79.1235,527
779,286,41.469147,-79.1235,527
780,1113,35.045631,-85.309681,222
781,1114,35.240081,-85.839698,575
782,543,44.33782,-72.756264,265
783,782,37.33,-76.67,28
784,672,38.029306,-78.476678,139
785,754,37.514904,-76.984833,33
786,786,37.540725,-77.436048,54
787,608,38.713452,-77.795271,179
790,582,38.791397,-79.441301,749
791,933,46.592443,-90.883798,183
792,761,42.928896,-88.837052,243
798,933,46.592441,-90.883791,183
803,1722,30.39604,-88.885309,7
806,793,39.165485,-86.526683,239
824,1041,36.865762,-87.488553,170
825,1130,41.878002,-93.097702,288
831,483,39.993684,-81.734017,284
837,1086,37.083389,-88.600048,99
851,1356,46.137636,-62.551315,19
864,430,45.412512,-84.612536,195
880,1062,48.182659,-67.148071,178
888,544,44.33782,-72.756264,265
890,841,36.615425,-81.600118,1317
891,950,35.696051,-82.065386,407
892,135,42.963947,-78.737809,209
893,499,45.504651,-73.597116,72
908,1168,42.02335,-93.625622,277
914,569,44.355899,-72.446143,347
915,511,44.466992,-73.170835,85