,Flowering_Date,Bolt_Date,Growth_Rate,Num_Trichomes,Water_Content,Flower_Totphe,Fruit_Totphe,Flower_Oenothein_A,Fruit_Oenothein_A,Leaf_Herb_Sept,P.spumarius,S.florida,M.brevivatella
Flowering_Date,1.000,0.435,-0.018,0.032,0.001,0.204,0.581,0.512,0.653,-0.002,-0.346,-0.124,-0.506
Bolt_Date,0.435,1.000,-0.332,0.107,0.125,0.142,0.178,0.254,0.251,-0.097,-0.522,-0.159,-0.153
Growth_Rate,-0.018,-0.332,1.000,-0.095,0.198,-0.086,0.123,-0.063,0.157,-0.120,0.084,0.044,0.147
Num_Trichomes,0.032,0.107,-0.095,1.000,0.069,0.190,0.126,0.168,0.064,0.122,-0.207,-0.141,-0.003
Water_Content,0.001,0.125,0.198,0.069,1.000,-0.234,-0.063,-0.180,-0.112,-0.014,-0.138,0.126,0.019
Flower_Totphe,0.204,0.142,-0.086,0.190,-0.234,1.000,0.267,0.702,0.237,0.199,-0.155,-0.168,-0.144
Fruit_Totphe,0.581,0.178,0.123,0.126,-0.063,0.267,1.000,0.549,0.797,-0.015,-0.143,-0.101,-0.504
Flower_Oenothein_A,0.512,0.254,-0.063,0.168,-0.180,0.702,0.549,1.000,0.724,0.013,-0.257,-0.275,-0.392
Fruit_Oenothein_A,0.653,0.251,0.157,0.064,-0.112,0.237,0.797,0.724,1.000,-0.072,-0.241,-0.246,-0.480
Leaf_Herb_Sept,-0.002,-0.097,-0.120,0.122,-0.014,0.199,-0.015,0.013,-0.072,1.000,0.179,-0.054,-0.069
P.spumarius,-0.346,-0.522,0.084,-0.207,-0.138,-0.155,-0.143,-0.257,-0.241,0.179,1.000,0.200,0.137
S.florida,-0.124,-0.159,0.044,-0.141,0.126,-0.168,-0.101,-0.275,-0.246,-0.054,0.200,1.000,0.088
M.brevivatella,-0.506,-0.153,0.147,-0.003,0.019,-0.144,-0.504,-0.392,-0.480,-0.069,0.137,0.088,1.000